Group,Condition,Score
Old,Counting,9
Old,Counting,8
Old,Counting,6
Old,Counting,8
Old,Counting,10
Old,Counting,4
Old,Counting,6
Old,Counting,5
Old,Counting,7
Old,Counting,7
Old,Rhyming,7
Old,Rhyming,9
Old,Rhyming,6
Old,Rhyming,6
Old,Rhyming,6
Old,Rhyming,11
Old,Rhyming,6
Old,Rhyming,3
Old,Rhyming,8
Old,Rhyming,7
Old,Adjective,11
Old,Adjective,13
Old,Adjective,8
Old,Adjective,6
Old,Adjective,14
Old,Adjective,11
Old,Adjective,13
Old,Adjective,13
Old,Adjective,10
Old,Adjective,11
Old,Imagery,12
Old,Imagery,11
Old,Imagery,16
Old,Imagery,11
Old,Imagery,9
Old,Imagery,23
Old,Imagery,12
Old,Imagery,10
Old,Imagery,19
Old,Imagery,11
Young,Counting,8
Young,Counting,6
Young,Counting,4
Young,Counting,6
Young,Counting,7
Young,Counting,6
Young,Counting,5
Young,Counting,7
Young,Counting,9
Young,Rhyming,7
Young,Rhyming,10
Young,Rhyming,7
Young,Rhyming,8
Young,Rhyming,10
Young,Rhyming,4
Young,Rhyming,7
Young,Rhyming,10
Young,Rhyming,6
Young,Rhyming,7
Young,Adjective,7
Young,Adjective,14
Young,Adjective,11
Young,Adjective,18
Young,Adjective,14
Young,Adjective,13
Young,Adjective,22
Young,Adjective,17
Young,Adjective,16
Young,Adjective,12
Young,Adjective,11
Young,Imagery,20
Young,Imagery,16
Young,Imagery,16
Young,Imagery,15
Young,Imagery,18
Young,Imagery,16
Young,Imagery,20
Young,Imagery,22
Young,Imagery,14
Young,Imagery,19